Group,Flag_Image,Team,Country_Name_Short,First match against,Second match against,Third match against
A,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/QAT?tx=c_fill,g_auto,q_auto",Qatar,QAT,Ecuador,Senegal,Netherlands
A,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/ECU?tx=c_fill,g_auto,q_auto",Ecuador,ECU,Qatar,Netherlands,Senegal
A,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/SEN?tx=c_fill,g_auto,q_auto",Senegal,SEN,Netherlands,Qatar,Ecuador
A,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/NED?tx=c_fill,g_auto,q_auto",Netherlands,NED,Senegal,Ecuador,Qatar
B,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/ENG?tx=c_fill,g_auto,q_auto",England,ENG,Iran,USA,Wales
B,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/IRN?tx=c_fill,g_auto,q_auto",Iran,IRN,England,Wales,USA
B,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/USA?tx=c_fill,g_auto,q_auto",USA,USA,Wales,England,Iran
B,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/WAL?tx=c_fill,g_auto,q_auto",Wales,WAL,USA,Iran,England
C,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/ARG?tx=c_fill,g_auto,q_auto",Argentina,ARG,Saudi Arabia,Mexico,Poland
C,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/KSA?tx=c_fill,g_auto,q_auto",Saudi Arabia,KSA,Argentina,Poland,Mexico
C,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/MEX?tx=c_fill,g_auto,q_auto",Mexico,MEX,Poland,Argentina,Saudi Arabia
C,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/POL?tx=c_fill,g_auto,q_auto",Poland,POL,Mexico,Saudi Arabia,Argentina
D,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/FRA?tx=c_fill,g_auto,q_auto",France,FRA,Australia,Denmark,Tunisia
D,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/DEN?tx=c_fill,g_auto,q_auto",Denmark,DEN,Tunisia,France,Australia
D,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/TUN?tx=c_fill,g_auto,q_auto",Tunisia,TUN,Denmark,Australia,France
D,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/AUS?tx=c_fill,g_auto,q_auto",Australia,AUS,France,Tunisia,Denmark
E,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/ESP?tx=c_fill,g_auto,q_auto",Spain,ESP,Costa Rica,Germany,Japan
E,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/GER?tx=c_fill,g_auto,q_auto",Germany,GER,Japan,Spain,Costa Rica
E,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/JPN?tx=c_fill,g_auto,q_auto",Japan,JPN,Germany,Costa Rica,Spain
E,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/CRC?tx=c_fill,g_auto,q_auto",Costa Rica,CRC,Spain,Japan,Germany
F,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/BEL?tx=c_fill,g_auto,q_auto",Belgium,BEL,Canada,Morocco,Croatia
F,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/CAN?tx=c_fill,g_auto,q_auto",Canada,CAN,Belgium,Croatia,Morocco
F,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/MAR?tx=c_fill,g_auto,q_auto",Morocco,MAR,Croatia,Belgium,Canada
F,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/CRO?tx=c_fill,g_auto,q_auto",Croatia,CRO,Morocco,Canada,Belgium
G,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/BRA?tx=c_fill,g_auto,q_auto",Brazil,BRA,Serbia,Switzerland,Cameroon
G,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/SRB?tx=c_fill,g_auto,q_auto",Serbia,SRB,Brazil,Cameroon,Switzerland
G,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/SUI?tx=c_fill,g_auto,q_auto",Switzerland,SUI,Cameroon,Brazil,Serbia
G,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/CMR?tx=c_fill,g_auto,q_auto",Cameroon,CMR,Switzerland,Serbia,Brazil
H,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/POR?tx=c_fill,g_auto,q_auto",Portugal,POR,Ghana,Uruguay,Korea Republic
H,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/GHA?tx=c_fill,g_auto,q_auto",Ghana,GHA,Portugal,Korea Republic,Uruguay
H,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/URU?tx=c_fill,g_auto,q_auto",Uruguay,URU,Korea Republic,Portugal,Ghana
H,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/KOR?tx=c_fill,g_auto,q_auto",Korea Republic,KOR,Uruguay,Ghana,Portugal
